课程ID,课程名,教师工号,学分,开课院系,期望人数,测验类型(考试：E-三-3-5-Z2204、P-yyyymmdd-theme),上课时间地点(二-3-4-Z2204、三-6-7-Z2204)
SOFT-022,Eng4,T00031,2,SOFT,1,E-三-3-4-H3101,一-6-7-H3101
SOFT-023,Eng5,T00032,2,SOFT,1,E-一-3-4-H3101,三-6-7-H3101
SOFT-001,SE,T00001,3,SOFT,80,E-三-2-4-Z2203,二-2-4-Z2203
SOFT-002,PD,T00002,5,SOFT,100,E-一-3-4-H3108,一-6-7-H3108、三-6-7-H3108
SOFT-003,web,T00003,4,SOFT,100,E-一-3-4-H3109,一-6-7-H3109、三-6-7-H3109
SOFT-004,English3,T00004,2,SOFT,5,E-三-3-4-Z4101,一-6-7-Z4101
SOFT-005,ICS,T00005,4,SOFT,100,E-一-3-4-H3107,一-6-7-H3107、三-6-7-H3107
SOFT-006,DM,T00006,3,SOFT,100,E-一-3-4-H3209,一-6-7-H3209、三-6-7-H3209
SOFT-007,CSE,T00007,4,SOFT,100,E-三-3-4-H3208,三-3-4-H3208、五-3-4-H3208
SOFT-008,CL,T00008,0,SOFT,80,P-20191222-Lecture,五-6-7-Z2306
SOFT-009,POC,T00009,3,SOFT,80,E-三-2-4-Z2204,二-2-4-Z2204
SOFT-010,PS,T00010,3,SOFT,80,E-三-2-4-Z2205,二-2-4-Z2205
SOFT-011,DSA,T00011,5,SOFT,80,E-三-2-4-Z2206,二-3-4-Z2206、三-3-4-Z2206
SOFT-012,OS,T00021,3,SOFT,80,E-三-2-4-Z2207,二-2-4-Z2207
SOFT-013,CS,T00022,3,SOFT,80,E-三-2-4-Z2208,二-2-4-Z2208
SOFT-014,CP,T00023,3,SOFT,80,E-三-2-4-Z2209,二-2-4-Z2209
SOFT-015,DCD,T00024,4,SOFT,80,E-四-2-4-Z2208,三-2-4-Z2208
SOFT-016,PA,T00025,3,SOFT,80,E-五-2-4-Z2208,四-2-4-Z2208
SOFT-017,LA,T00026,3,SOFT,80,E-四-2-4-Z2209,三-2-4-Z2209
SOFT-018,OOP,T00027,2,SOFT,80,E-五-2-4-Z2209,四-2-4-Z2209
SOFT-019,BPE,T00028,3,SOFT,80,E-四-6-8-Z2208,三-6-8-Z2208
SOFT-020,DBD,T00029,3,SOFT,80,E-五-6-8-Z2208,四-6-8-Z2208
SOFT-021,CN,T00030,3,SOFT,80,E-五-6-8-Z2308,四-6-8-Z2308